"
","Coal","Oil","Gas","Nuclear","Hydro (natural flow)","Wind and Solar","Bioenergy","Pumped storage (net supply)","Other fuels","Net imports (Interconnectors)"
"Q1 1998",33.68,1.98,29.71,23.64,1.87,0.21,0.71,-0.26,1.49,4.21
"Q2 1998",27.16,1.65,26.38,21.52,0.82,0.21,0.73,-0.23,0.87,3.98
"Q3 1998",25.99,1.48,27.55,20.88,0.85,0.22,0.75,-0.26,0.81,0.85
"Q4 1998",30.2,1.73,32.64,24.56,1.55,0.23,0.79,-0.27,0.88,3.43
"Q1 1999",29.12,1.89,35.98,24.18,1.87,0.2,0.87,-0.28,1.51,3.62
"Q2 1999",21.52,1.35,32,22.72,1.07,0.21,0.92,-0.23,0.88,3.71
"Q3 1999",21.72,1.34,32.84,19.82,0.73,0.22,0.95,-0.24,0.82,3.29
"Q4 1999",28.9,1.49,38.85,20.96,1.64,0.23,0.97,-0.22,0.89,3.62
"Q1 2000",31.15,1.64,39.96,21.16,2.12,0.23,1.02,-0.24,1.06,3.24
"Q2 2000",25.41,1.37,34.63,19.41,0.68,0.23,0.96,-0.22,1.31,3.78
"Q3 2000",24.22,1.28,34.03,18.15,0.57,0.24,1.05,-0.2,0.69,3.72
"Q4 2000",33.95,1.64,36.27,19.63,1.69,0.25,1.05,-0.24,1.13,3.44
"Q1 2001",39.13,1.77,36.66,20.98,1.03,0.25,1.1,-0.26,0.9,3.24
"Q2 2001",27.79,1.28,35.1,18.59,0.57,0.24,1.15,-0.16,0.86,2.63
"Q3 2001",24.8,0.7,32.17,20.62,0.63,0.23,1.24,-0.2,0.83,2.64
"Q4 2001",33.68,1.03,34.8,22.79,1.8,0.25,1.27,-0.25,0.82,1.89
"Q1 2002",35.61,1.04,37.47,22.66,1.96,0.25,1.35,-0.24,0.88,1.82
"Q2 2002",23.14,0.8,37.81,19.89,1.13,0.28,1.29,-0.21,0.83,2.78
"Q3 2002",23.72,1.01,37,19.04,0.65,0.33,1.31,-0.22,0.91,0.65
"Q4 2002",36,1.36,36.6,19.5,1.02,0.4,1.36,-0.23,0.95,3.17
"Q1 2003",38.75,1.17,35.96,22.64,0.98,0.4,1.6,-0.23,0.97,0.8
"Q2 2003",28.69,1.01,34.39,20.73,0.68,0.25,1.49,-0.19,0.94,0.31
"Q3 2003",25.91,0.83,36.67,19.24,0.51,0.2,1.49,-0.25,0.87,-0.22
"Q4 2003",38.41,1.16,38.11,19.3,1.04,0.44,1.71,-0.23,0.89,1.28
"Q1 2004",39.57,1.16,38.45,21.68,1.51,0.5,1.81,-0.25,0.65,1.29
"Q2 2004",24.55,0.96,36.96,17.13,0.73,0.36,1.81,-0.21,0.74,1.69
"Q3 2004",24.79,0.85,38.5,17.2,0.97,0.46,1.8,-0.23,0.65,2.05
"Q4 2004",36.78,1.12,39.82,17.67,1.61,0.62,2.01,-0.25,0.91,2.46
"Q1 2005",40.6,1.34,35.74,20.69,1.6,0.75,2.35,-0.24,0.9,1.4
"Q2 2005",26.25,0.72,38.86,18.24,0.99,0.54,2.08,-0.23,0.86,2.13
"Q3 2005",21.16,0.73,40.05,18.76,0.69,0.69,2.03,-0.19,0.9,1.94
"Q4 2005",40.5,1.86,34.56,17.48,1.47,0.93,2.49,-0.27,0.88,2.85
"Q1 2006",47.56,2.06,29.98,20.52,1.11,1.09,2.37,-0.34,0.87,1.4
"Q2 2006",28.55,1,33.69,18.21,0.96,0.79,2.13,-0.25,0.78,2.86
"Q3 2006",26.86,1.07,35.36,17.24,0.67,1.01,2.11,-0.31,0.8,1.62
"Q4 2006",38.52,1.29,38.73,13.26,1.82,1.35,2.49,-0.3,0.8,1.63
"Q1 2007",37.02,1.22,42.82,14.12,1.94,1.65,2.26,-0.28,0.76,1.12
"Q2 2007",24.1,1.03,43.47,13.73,0.84,0.93,1.96,-0.28,0.86,0.89
"Q3 2007",25.62,0.81,36.55,15.73,0.94,1.19,1.98,-0.33,0.9,2.66
"Q4 2007",42.29,1.4,39.55,13.66,1.31,1.51,2.34,-0.34,0.78,0.54
"Q1 2008",33.42,1.03,47.61,13.14,1.97,2.22,2.18,-0.29,0.81,2.42
"Q2 2008",26.29,1.21,41.93,11.08,0.84,1.27,2.05,-0.3,0.8,3.56
"Q3 2008",22.01,1.52,43.28,10.96,0.73,1.31,2.07,-0.35,0.68,3.72
