"<span style="font-style: normal;">ISO Week Number</span>","Average Weekly Bid-Offer Spread - all years pre-2021 (p/th)","Average Weekly Bid-Offer Spread - 2025 (p/th)","Average Weekly Bid-Offer Spread - 2024 (p/th)","Average Weekly Bid-Offer Spread - 2023 (p/th)","Average Weekly Bid-Offer Spread - 2022 (p/th)"
1,0.12,0.16,0.24,0.27,0.46
2,0.12,0.13,0.16,0.4,0.44
3,0.09,0.15,0.23,0.33,0.47
4,0.11,0.12,0.16,0.43,0.41
5,0.1,0.1,0.17,0.38,0.44
6,0.13,0.14,0.11,0.38,0.48
7,0.1,0.24,0.18,0.17,0.48
8,0.09,0.17,0.18,0.26,0.36
9,0.1,0.14,0.21,0.32,0.41
10,0.09,0.16,0.1,0.31,0.44
11,0.09,0.11,0.12,0.26,0.44
12,0.08,0.13,0.1,0.25,0.33
13,0.08,0.09,0.14,0.28,0.44
14,0.11,,0.14,0.19,0.44
15,0.17,,0.19,0.33,0.38
16,0.13,,0.13,0.38,0.4
17,0.09,,0.15,0.36,0.42
18,0.1,,0.15,0.28,0.45
19,0.1,,0.14,0.37,0.42
20,0.08,,0.08,0.26,0.43
21,0.09,,0.18,0.43,0.48
22,0.09,,0.12,0.21,0.38
23,0.09,,0.11,0.27,0.45
24,0.1,,0.09,0.2,0.5
25,0.08,,0.16,0.37,0.38
26,0.1,,0.09,0.28,0.18
27,0.08,,0.09,0.41,0.3
28,0.11,,0.11,0.32,0.38
29,0.11,,0.08,0.19,0.38
30,0.08,,0.12,0.31,0.3
31,0.12,,0.08,0.25,0.24
32,0.09,,0.08,0.14,0.2
33,0.11,,0.06,0.32,0.2
34,0.09,,0.09,0.26,0.28
35,0.11,,0.1,0.39,0.21
36,0.08,,0.08,0.27,0.35
37,0.11,,0.12,0.3,0.38
38,0.11,,0.13,0.27,0.27
39,0.11,,0.11,0.3,0.18
40,0.15,,0.14,0.27,0.18
41,0.17,,0.08,0.34,0.17
42,0.11,,0.14,0.31,0.2
43,0.13,,0.06,0.29,0.26
44,0.15,,0.12,0.2,0.2
45,0.12,,0.1,0.26,0.29
46,0.13,,0.07,0.26,0.26
47,0.12,,0.1,0.3,0.38
48,0.1,,0.18,0.33,0.29
49,0.1,,0.08,0.21,0.27
50,0.09,,0.07,0.18,0.24
51,0.09,,0.11,0.18,0.28
52,0.15,,0.12,0.2,0.38
53,0.09,,,,
