"
","Churn","ICE","ICE Endex","OTC"
"01/01/2011",12,29.84,1.15,103.61
"01/02/2011",18,38.67,0.96,123.64
"01/03/2011",22,57.19,0.85,145.68
"01/04/2011",15,33.28,1.17,85.32
"01/05/2011",15,27.94,0.99,81.35
"01/06/2011",21,33.36,0.76,98
"01/07/2011",20,37.16,0.88,89.15
"01/08/2011",28,60.59,0.95,115.88
"01/09/2011",26,47.71,0.93,108.36
"01/10/2011",18,47.3,1.48,89.39
"01/11/2011",20,49.61,1.34,109.81
"01/12/2011",11,31.57,1.33,66.34
"01/01/2012",19.6,59.23,1.16,137.42
"01/02/2012",20.1,77.71,0.82,151.69
"01/03/2012",20.1,55.69,1.07,126.35
"01/04/2012",20.3,42.24,1.02,86.1
"01/05/2012",20.8,46.87,1.31,99.46
"01/06/2012",20.8,37,1.06,76.28
"01/07/2012",20.9,41.06,0.95,83.71
"01/08/2012",20.6,41.18,1.13,82.96
"01/09/2012",20.6,39.68,0.95,73.82
"01/10/2012",21.1,61.68,1.24,97.1
"01/11/2012",20.8,56.22,1.02,79.67
"01/12/2012",20.8,31.16,1.03,62.54
"01/01/2013",20.3,48.54,1.07,95.63
"01/02/2013",19.7,54.06,1.01,106
"01/03/2013",19.2,56.02,1.52,98.72
"01/04/2013",19.1,42.63,1.11,80.81
"01/05/2013",18.8,41.13,1.09,80.74
"01/06/2013",18.8,41.25,1.21,85.54
"01/07/2013",18.4,24.7,1.06,61.22
"01/08/2013",18.3,30.72,1.1,67.71
"01/09/2013",18.4,38.49,1.14,84.27
"01/10/2013",18.3,36.17,1.07,91.93
"01/11/2013",18.2,46.46,1.05,82.78
"01/12/2013",18.3,39.18,1.11,53.87
"01/01/2014",18.9,82.45,0.91,112.19
"01/02/2014",19.6,75.12,0.99,112.6
"01/03/2014",20.4,89.27,1.03,110.45
"01/04/2014",21.3,77.36,1.15,88.62
"01/05/2014",21.6,60.25,1.11,71.52
"01/06/2014",22.1,72.43,0.94,75.66
"01/07/2014",23.2,82.4,0.95,79.12
"01/08/2014",23.3,67.17,0.97,57.72
"01/09/2014",23.6,74.08,0.95,74.03
"01/10/2014",23.8,70.42,1.11,87.23
"01/11/2014",24.2,67.03,0.99,75.88
"01/12/2014",24.5,60.05,0.95,65.45
"01/01/2015",24.4,103.24,0.94,101.41
