"
","Electricity (baseload)","Electricity (peakload)","Gas"
"2003-01-01 00:00:00",99,643,332
"2003-02-01 00:00:00",102,635,313
"2003-03-01 00:00:00",56,232,158
"2003-04-01 00:00:00",38,135,128
"2003-05-01 00:00:00",40,177,141
"2003-06-01 00:00:00",47,216,192
"2003-07-01 00:00:00",116,531,111
"2003-08-01 00:00:00",159,687,141
"2003-09-01 00:00:00",84,424,210
"2003-10-01 00:00:00",56,323,194
"2003-11-01 00:00:00",60,334,135
"2003-12-01 00:00:00",77,484,125
"2004-01-01 00:00:00",90,407,256
"2004-02-01 00:00:00",94,452,444
"2004-03-01 00:00:00",39,127,113
"2004-04-01 00:00:00",28,118,105
"2004-05-01 00:00:00",30,162,115
"2004-06-01 00:00:00",42,228,67
"2004-07-01 00:00:00",35,169,58
"2004-08-01 00:00:00",18,105,70
"2004-09-01 00:00:00",18,125,100
"2004-10-01 00:00:00",43,144,126
"2004-11-01 00:00:00",56,238,133
"2004-12-01 00:00:00",42,211,119
"2005-01-01 00:00:00",46,231,131
"2005-02-01 00:00:00",37,167,126
"2005-03-01 00:00:00",81,319,416
"2005-04-01 00:00:00",32,153,160
"2005-05-01 00:00:00",17,72,93
"2005-06-01 00:00:00",26,124,135
"2005-07-01 00:00:00",46,279,126
"2005-08-01 00:00:00",17,106,92
"2005-09-01 00:00:00",29,146,89
"2005-10-01 00:00:00",33,176,103
"2005-11-01 00:00:00",50,194,226
"2005-12-01 00:00:00",79,338,294
"2006-01-01 00:00:00",70,282,209
"2006-02-01 00:00:00",59,205,205
"2006-03-01 00:00:00",114,436,389
"2006-04-01 00:00:00",81,331,291
"2006-05-01 00:00:00",23,94,121
"2006-06-01 00:00:00",29,145,219
"2006-07-01 00:00:00",65,302,182
"2006-08-01 00:00:00",90,444,90
"2006-09-01 00:00:00",38,190,105
"2006-10-01 00:00:00",48,227,567
"2006-11-01 00:00:00",72,297,217
"2006-12-01 00:00:00",87,328,183
"2007-01-01 00:00:00",63,294,154
"2007-02-01 00:00:00",41,194,120
"2007-03-01 00:00:00",30,154,140
"2007-04-01 00:00:00",33,167,86
"2007-05-01 00:00:00",42,219,106
"2007-06-01 00:00:00",53,290,84
"2007-07-01 00:00:00",40,181,107
